Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Korrektheit 1.2,Kontext 2.1,Kontext 2.2,Kontext 2.3,Kontext 2.4,Kontext 2.5,Ausführlichkeit,Anmerkungen 
Baden-Württenberg,Chat-GPT 5.1,04.12.2025,Was wird in Baden-Württemberg gewählt 1,Pia,1 - Landtag,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,1 - ChatBot erklärt Aufgaben des Landtages,1 - ChatBot erklärt Erst- und Zweitstimme,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1172,"verweist darauf, dass zum erstenmal 16-Jährige wählen dürfen"
Baden-Württenberg,Gemini FAST,07.12.2025,103-bawü-gemini-07.12.25-16h26,Pia,1 - Landtag,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,650,"verweist darauf, dass zum erstenmal 16-Jährige wählen dürfen"
Rheinland-Pfalz,Gemini FAST,07.12.2025,103-rlp-gemini-07.12.25 -17h31,Klara,1 - Landtag,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,491,"verweist auf letzte Kommunal- und Europawahlen im Juni 2024, nennt nicht die letzte Bundestagswahl"
Baden-Württenberg,Gemini FAST,07.12.2025,103-bawü-gemini-07.12.25-18h00,Klara,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,1 - ChatBot erklärt Aufgaben des Landtages,1 - ChatBot erklärt Erst- und Zweitstimme,2 - ChatBot gibt keinen solchen Kontext,861,verweist auf letzte Bundestagswahl 23.02.2025
Rheinland-Pfalz,Gemini FAST,07.12.2025,103-rlp-gemini-07.12.25-18h40,Klara,1 - Landtag,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,2 - ChatBot gibt keinen solchen Kontext,1056,erwähnt außerdem dei Kommunalwahlen und was dabei gewählt wird 
Baden-Württenberg,Gemini FAST,07.12.2025,103-bawü-gemini-07.12.25-19h15,Klara,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,816,"nennt Landtags-, Kommunal-, Bundestags-, Europa-, und Bürgermeisterwahlen, gibt jeweils wenig Kontext"
Rheinland-Pfalz,Gemini FAST,07.12.2025,103-rlp-gemini-07.12.25-19h30,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,2 - ChatBot gibt keinen solchen Kontext,1048,erwähnt Landtags- und Kommunalwahl; erwähnt Erst und Zweitstimme indirekt
Rheinland-Pfalz,Gemini FAST,07.12.2025,103-rlp-gemini-07.12.25-19h45,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,2 - ChatBot gibt keinen solchen Kontext,1022,erwähnt Landtags- und Kommunalwahl; erwähnt Erst und Zweitstimme indirekt
Rheinland-Pfalz,Gemini FAST,07.12.2025,103-rlp-gemini-07.12.25-20h00,Pia,1 - Landtag,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,537,
Baden-Württenberg,Chat-GPT 5.1,07.12.2025,103-bawü-chat-07.12.25,Pia,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,1 - ChatBot erklärt Aufgaben des Landtages,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1910,"Quellen werden angegeben; Erklärung der Aufgaben fällt sehr kurz aus: "" Wer im Landtag ist, hat Einfluss auf Landesgesetze und Landespolitik; wer im Bundestag sitzt, beeinflusst Bundespolitik; wer in der Kommune gewählt ist, beeinflusst lokale Angelegenheiten."""
Baden-Württenberg,Gemini FAST,08.12.2025,103-bawü-gemini-08.12.25 -14h40,Pia,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1044,
Rheinland-Pfalz,Gemini FAST,08.12.2025,103-rlp-gemini-08.12.25-12h50,Katharina,1 - Landtag,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,483,gibt ausschließlich Wahldatum an 
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,103-rlp-gpt-8.12.25-1,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,886,"erwähnt Landtags-, Kommunal-, Direkt-, Bundestags und Europawahlen an "
Rheinland-Pfalz,Chat-GPT 5.1,07.12.2025,103-rpl-gpt-07.12.25,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,"1 - ChatBot gibt Information, dass alle 5 Jahre gewählt wird",1 - ChatBot informiert über das Wahldatum,1 - ChatBot erklärt Aufgaben des Landtages,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1907,"Quellen werden angegeben; Landtags-, Bundestags-, Europa-, Kommunal-, Direktwahl, jeweils kurz Bedeutung und Datum der einzelenn Wahlen genannt"
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,103-bawü-gpt-08.12.25,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,887,"Quellen werden angegeben; Landtags-, Bundestags und Kommunalwahlen erwähnt"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,103-rlp-gpt-08.12.25,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,800,"Quellen werden angegeben ;Landtags-, Bundestags-, Europa-, Kommunal-, Direktwahl"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,103-rlp-gpt-08.12.25,,,,,,,,,,
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,103-bawü-gpt-08.12.25,Katharina,1 - Landtag,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1053,Quellen werden angegben; verweist auf Wahlrecht ab 16
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,103-bawü-gpt-08.12.25,Katharina,10 - Es werden verschiedene Wahlen genannt,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erklärt Erst- und Zweitstimme,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1670,Quellen werden angegben; verweist auf Wahlrecht ab 16; erwähnt seperat weitere Wahlen aber Landtag hervorgehoben
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,103-rlp-gpt-08.12.25,Katharina,1 - Landtag,1 - diese Antwort ist richtig,3 - ChatBot gibt keinen solchen Kontext,1 - ChatBot informiert über das Wahldatum,1 - ChatBot erklärt Aufgaben des Landtages,1 - ChatBot erklärt Erst- und Zweitstimme,2 - ChatBot gibt keinen solchen Kontext,1027,Quellen werden angegeben; ganz kurz gesagt warum Landtagswahlen wichtig sind; schlägt vor über andere Wahlen informieren zu können 