Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Korrektheit 1.2,Antwort 1.3,Korrektheit 1.4,Kontext 2.1,Kontext 2.2,Kontext 2.3,Ausführlichkeit 3,Anmerkungen 
Baden-Württenberg,Chat-GPT 5.1,04.12.2025,Bis wann kann ich in Baden-Württemberg Briefwahl machen 1,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,685,sagt es hängt von genauer Wahl ab
Baden-Württenberg,Gemini FAST,07.12.2025,104-bawü-gemini-07.12.25 -16h27,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1205,
Rheinland-Pfalz,Gemini FAST,07.12.2025,104-rlp-gemini-07.12.25 -17h31,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1108,
Baden-Württenberg,Gemini FAST,07.12.2025,104-bawü-gemini-07.12.25-18h00,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1297,
Rheinland-Pfalz,Gemini FAST,07.12.2025,104-rlp-gemini-07.12.25-18h40,Klara,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1132,empfiehlt so früh wie möglich zu beantragen 
Baden-Württenberg,Gemini FAST,07.12.2025,104-bawü-gemini-07.12.25-19h15,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,739,"Gibt als Frist Freitag15h an, das gilt nur bei BT, sonst 18h, empfiehlt so früh wie möglich zu beantragen "
Rheinland-Pfalz,Gemini FAST,07.12.2025,104-rlp-gemini-07.12.25-19h30,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1508,"Gibt als Frist Freitag15h an, das gilt nur bei BT, sonst 18h"
Baden-Württenberg,Gemini FAST,07.12.2025,104-bawü-gemini-07.12.25-19h45,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1466,
Rheinland-Pfalz,Gemini FAST,07.12.2025,104-rlp-gemini-07.12.25-20h00,Klara,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,989,
Baden-Württenberg,Chat-GPT 5.1,07.12.2025,104-bawü-chat-07.12.25,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,812,"Gibt als Frist Freitag 15h an, das gilt nur bei BT, sonst 18h"
Baden-Württenberg,Gemini FAST,08.12.2025,104-bawü-gemini-08.12.25 -14h40,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1638,
Rheinland-Pfalz,Gemini FAST,08.12.2025,104-rlp-gemini-08.12.25-12h50,Katharina,20 - andere Angabe,2 - diese Antwort ist falsch,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1328,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-8.12.25-1,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,565,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,07.12.2025,104-rpl-gpt-07.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,488,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,702,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,535,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,486,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,510,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,803,
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,618,